College Code,College Name,Seat Category,City,branch,closing_rank
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,4294
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,12412
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,51311
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,52197
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,South Kodagu,AD-Artificial Intelligence & Data Science,68306
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,61531
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,98989
E046,"East Point College of Engineering and Technology- Avalahalli, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,98557
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,84267
E048,"East West Institute of Technology-BEL Layout, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,59464
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,77065
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,60958
E055,"GSSS Institute of Engineering and Technology for Women- Metagalli, Mysuru",GM,Mysuru,AD-Artificial Intelligence & Data Science,85755
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,Belagavi,AD-Artificial Intelligence & Data Science,82886
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,69921
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,3864
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,Mysuru,AD-Artificial Intelligence & Data Science,91965
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,20333
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,36018
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassan",GM,Hassan,AD-Artificial Intelligence & Data Science,76726
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,Chikkaballapur,AD-Artificial Intelligence & Data Science,51282
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,82734
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,Belagavi,AD-Artificial Intelligence & Data Science,77025
E123,"Shri Madhwa Vadiraja Institute of Technology and Management-Bantakal, Udupi",GM,Udupi,AD-Artificial Intelligence & Data Science,17689
E124,"Shridevi Institute of Engineering and Technology-Sira Road, Tumakuru",GM,Tumakuru,AD-Artificial Intelligence & Data Science,85977
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,Tumakuru,AD-Artificial Intelligence & Data Science,20614
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",KKR,Tumakuru,AD-Artificial Intelligence & Data Science,26286
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,Mangaluru,AD-Artificial Intelligence & Data Science,92858
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,Hassan,AD-Artificial Intelligence & Data Science,61329
E207,"BGS College of Engineering and Technology- Mahalaxmipuram, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,94081
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,59353
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,85705
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,43057
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,Bengaluru,AE-Aeronautical Engineering,68274
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,98787
E053,"Gopalan College of Engineering And Management- Whitefield, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,57177
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,Belagavi,AE-Aeronautical Engineering,74541
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,69535
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,AE-Aeronautical Engineering,77431
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,Mangaluru,AE-Aeronautical Engineering,57651
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,Bengaluru,AE-Aeronautical Engineering,46217
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,Mangaluru,AG-Agriculture Engineering,97806
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,78979
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,41746
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,Mangaluru,AI-Artificial Intelligence & Machine Learning,75934
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,96420
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,98519
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,62080
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,Belagavi,AI-Artificial Intelligence & Machine Learning,100356
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,39898
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,51067
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,Ballari,AI-Artificial Intelligence & Machine Learning,75751
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,15770
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,23964
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,41656
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,Davangere,AI-Artificial Intelligence & Machine Learning,97787
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,Davangere,AI-Artificial Intelligence & Machine Learning,79815
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,Bagalkote,AI-Artificial Intelligence & Machine Learning,92752
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,4962
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,10281
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,18563
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,32944
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,85061
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,46575
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,50273
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,54955
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,56478
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,100898
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,46478
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,37892
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,6927
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,13569
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,66397
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,51238
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,86818
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,70074
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,57298
E051,"GM Institute of Technology-P B Road, Davangere",GM,Davangere,AI-Artificial Intelligence & Machine Learning,82901
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,Kalaburgi,AI-Artificial Intelligence & Machine Learning,62287
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",KKR,Kalaburgi,AI-Artificial Intelligence & Machine Learning,78802
E059,"Jawaharlal Nehru New College of Engineering JNNCE- Swalanga Road, Shivamogga",GM,Shivamogga,AI-Artificial Intelligence & Machine Learning,86450
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,48515
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,Tiptur,AI-Artificial Intelligence & Machine Learning,70996
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,3706
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,7073
E080,"Mangalore Institute of Technology and Engineering- Moodbidri, Mangaluru",GM,Mangaluru,AI-Artificial Intelligence & Machine Learning,56518
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,19117
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,30779
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,55565
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,62782
E107,"SJB Institute of Technology-Kengeri, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,96567
E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,86055
E117,"SDM College of Engineering and Technology, Tulu Minority- Kalaghatagi, Dharwad",GM,Dharwad,AI-Artificial Intelligence & Machine Learning,62180
E117,"SDM College of Engineering and Technology, Tulu Minority- Kalaghatagi, Dharwad",KKR,Dharwad,AI-Artificial Intelligence & Machine Learning,48195
E121,"Sri Sairam College of Engineering-Anekal, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,70703
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,29055
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,40080
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,Mangaluru,AI-Artificial Intelligence & Machine Learning,54657
E141,"T. John Institute of Technology-Bannerghatta Road, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,74209
E145,"Vemana Institute of Technology-Koramangala, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,93201
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,82308
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,47387
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",KKR,Bengaluru,AI-Artificial Intelligence & Machine Learning,69829
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,Hubballi,AI-Artificial Intelligence & Machine Learning,76370
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,Hassan,AI-Artificial Intelligence & Machine Learning,45881
E207,"BGS College of Engineering and Technology- Mahalaxmipuram, Bengaluru",GM,Bengaluru,AI-Artificial Intelligence & Machine Learning,83652
E164,"Reva University-Yelahanka, Bengaluru",GM,Bengaluru,AL-Agricultural Engineering,45304
E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Hubballi,AR-Automation & Robotics Engineering,92848
E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,Hubballi,AR-Automation & Robotics Engineering,47637
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,56033
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,16466
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,18772
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,Bengaluru,AS-Aerospace Engineering,76076
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,4991
E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,Bengaluru,AS-Aerospace Engineering,23801
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,Bengaluru,AS-Aerospace Engineering,36027
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,AU-Automobile Engineering,42671
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,BT-Biotechnology,83584
E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Hubballi,BT-Biotechnology,95802
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,BT-Biotechnology,40333
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,BT-Biotechnology,75923
E061,JSS Science and Technology University-Mysuru,GM,,BT-Biotechnology,98970
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,BT-Biotechnology,37954
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,Bengaluru,BT-Biotechnology,73147
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,BT-Biotechnology,21320
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,BT-Biotechnology,44411
E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Hubballi,CA-Computer Science & Engineering (Artificial Intelligence),49639
E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,Hubballi,CA-Computer Science & Engineering (Artificial Intelligence),33637
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,CA-Computer Science & Engineering (Artificial Intelligence),48711
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,Bengaluru,CA-Computer Science & Engineering (Artificial Intelligence),47322
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of Engineering and Technology- Udyambag, Belagavi",GM,Belagavi,CA-Computer Science & Engineering (Artificial Intelligence),95657
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CA-Computer Science & Engineering (Artificial Intelligence),99162
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,Bengaluru,CA-Computer Science & Engineering (Artificial Intelligence),79189
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,Bengaluru,CA-Computer Science & Engineering (Artificial Intelligence),65667
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,4444
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bengaluru,CB-Computer Science & Business Systems,13813
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,13630
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,Bengaluru,CB-Computer Science & Business Systems,27782
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,9116
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,Bengaluru,CB-Computer Science & Business Systems,19497
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,92155
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,Bengaluru,CB-Computer Science & Business Systems,75830
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,74043
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CB-Computer Science & Business Systems,82566
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,Hassan,CB-Computer Science & Business Systems,79568
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,23215
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,CB-Computer Science & Business Systems,40977
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CB-Computer Science & Business Systems,49041
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,Belagavi,CB-Computer Science & Business Systems,60367
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,Bengaluru,CB-Computer Science & Business Systems,53185
E173,"Presidency University-Yelahanka, Bengaluru",GM,Bengaluru,CBD-Computer Science & Technology (Big Data),47473
E173,"Presidency University-Yelahanka, Bengaluru",KKR,Bengaluru,CBD-Computer Science & Technology (Big Data),56217
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),74477
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),44419
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,Chikkamagaluru,CD-Computer Science & Engineering (Data Science),74192
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),100328
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),86862
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),67494
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),13221
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),26792
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,Davangere,CD-Computer Science & Engineering (Data Science),81541
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,Vijayapura,CD-Computer Science & Engineering (Data Science),75081
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),3733
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),7825
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),29977
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),55443
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),56799
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),50393
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),38595
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),6689
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),14035
E059,"Jawaharlal Nehru New College of Engineering JNNCE- Swalanga Road, Shivamogga",GM,Shivamogga,CD-Computer Science & Engineering (Data Science),79577
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CD-Computer Science & Engineering (Data Science),91255
E084,"Nagarjuna College of Engineering And Technology- Devanahalli, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),69101
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,Mandya,CD-Computer Science & Engineering (Data Science),70362
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),593
E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),2122
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),45051
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),45451
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),58622
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),79444
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),77605
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),26562
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",KKR,Bengaluru,CD-Computer Science & Engineering (Data Science),54325
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),58994
E148,"Vivekananda College of Engineering and Technology- Puttur, Dakshin Kannada",GM,Dakshin Kannada,CD-Computer Science & Engineering (Data Science),50274
E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,Mysuru,CD-Computer Science & Engineering (Data Science),98996
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),37486
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,Bengaluru,CD-Computer Science & Engineering (Data Science),33330
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Mandya,CE-Computer Engineering,83748
